id,phase,phase_name,category,module,requirement,agent,ui,backend,database,api,tool,dependency,external_dependency,test,acceptance_criteria,status
R0001,1,Foundation & Architecture,CORE,Application Shell,Application Shell,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0002,1,Foundation & Architecture,CORE,Application Shell,Frontend Architecture,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0003,1,Foundation & Architecture,CORE,Application Shell,Backend Architecture,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0004,1,Foundation & Architecture,CORE,Application Shell,API Layer,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0005,1,Foundation & Architecture,CORE,Application Shell,Plugin Architecture,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0006,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Database,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0007,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Object Storage,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0008,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Caching,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0009,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Queue System,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0010,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Event Bus,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0011,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Configuration System,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0012,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Logging,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0013,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Error Handling,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0014,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Feature Flags,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0015,1,Foundation & Architecture,INFRASTRUCTURE,Data & Ops Infra,Environment Configuration,,,yes,yes,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0016,1,Foundation & Architecture,CORE,Core Domains,Users,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0017,1,Foundation & Architecture,CORE,Core Domains,Workspaces,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0018,1,Foundation & Architecture,CORE,Core Domains,Projects,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0019,1,Foundation & Architecture,CORE,Core Domains,Conversations,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0020,1,Foundation & Architecture,CORE,Core Domains,Tasks,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0021,1,Foundation & Architecture,CORE,Core Domains,Agents,yes,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0022,1,Foundation & Architecture,CORE,Core Domains,Models,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0023,1,Foundation & Architecture,CORE,Core Domains,Providers,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0024,1,Foundation & Architecture,CORE,Core Domains,Tools,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0025,1,Foundation & Architecture,CORE,Core Domains,Files,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0026,1,Foundation & Architecture,CORE,Core Domains,Artifacts,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0027,1,Foundation & Architecture,CORE,Core Domains,Memory,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0028,1,Foundation & Architecture,CORE,Core Domains,Knowledge,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0029,1,Foundation & Architecture,CORE,Core Domains,Workflows,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0030,1,Foundation & Architecture,CORE,Core Domains,Events,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0031,1,Foundation & Architecture,CORE,Core Domains,System Health,,,yes,,,,None (foundational),,smoke-tested,See phase acceptance gate in master spec,PARTIAL
R0032,2,"Identity, Workspace & Local-First",UX,Local-First Experience,No-mandatory-signin launch flow,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0033,2,"Identity, Workspace & Local-First",UX,Local-First Experience,Local profiles (Personal/Business/Dev/Marketing/Research/Creative),,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0034,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Project Management,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0035,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Workspace Management,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0036,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Preferences,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0037,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Settings,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0038,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Theme,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0039,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Language,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0040,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Command Palette,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0041,2,"Identity, Workspace & Local-First",CORE,Workspace Management,Keyboard Shortcuts,,yes,yes,,,,Phase 1,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0042,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Provider Registry,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0043,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Model Registry,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0044,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Capability Registry,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0045,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Credential Manager,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0046,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Health Monitor,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0047,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Model Discovery,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0048,3,Model & Provider Infrastructure,AI,Provider/Model Registries,Model Benchmarking,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0049,3,Model & Provider Infrastructure,AI,Routing Infra,Routing Engine,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0050,3,Model & Provider Infrastructure,AI,Routing Infra,Fallback Engine,yes,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0051,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,OpenAI adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0052,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,Anthropic adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0053,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,xAI adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
R0054,3,Model & Provider Infrastructure,INTEGRATION,Provider Adapters,Google adapter,,,yes,,yes,,Phase 2,OpenAI/Anthropic/xAI/Google/OpenRouter API keys,smoke-tested,See phase acceptance gate in master spec,DONE
